Posted on,Owner Name,Location,BHK,Balcony,Sq. ft,Price
2023-09-17,Anay Sethi,Bhilwara,1,0,1096,6777001
2023-09-20,Alisha Amble,Erode,2,0,1873,5682256
2023-09-15,Navya Barad,Kirari Suleman Nagar,4,0,1960,5732962
2023-10-01,Dhanuk Chakraborty,Jamshedpur,3,0,1023,9999144
2023-09-27,Jayesh Reddy,Malegaon,1,1,1890,5976683
2023-09-28,Renee Viswanathan,Aizawl,1,0,802,4819644
2023-09-26,Anika Jayaraman,Gopalpur,1,2,1010,6580678
2023-09-04,Divij Sani,Tiruppur,2,0,1004,1589460
2023-09-23,Priyansh Edwin,Ambarnath,4,0,870,5934398
2023-10-02,Romil Seth,Vadodara,4,0,1306,4352837
2023-09-09,Taimur Ganesh,Durgapur,1,1,1578,5366564
2023-09-24,Zara Balakrishnan,Nagpur,2,0,799,8517486
2023-09-24,Alia Kunda,Ambattur,2,1,1109,9218041
2023-10-02,Darshit Borah,Bhatpara,4,1,1943,7049995
2023-09-30,Ishita Choudhury,Ambarnath,1,0,1878,5101679
2023-09-17,Damini Shroff,Akola,1,0,532,9775538
2023-09-29,Veer Sem,Bhagalpur,3,2,500,7442947
2023-09-15,Zoya Varkey,Nandyal,3,0,1128,4598204
2023-09-26,Yakshit Solanki,Dhanbad,4,1,1281,8649667
2023-09-04,Jayesh Wali,Patna,3,2,1467,9170924
2023-09-04,Kiara Swaminathan,Sasaram,3,1,714,2314527
2023-09-13,Biju Gulati,Madurai,4,2,501,5449494
2023-09-06,Anvi Venkataraman,Kolhapur,2,2,1225,5282446
2023-09-09,Himmat Kamdar,Chinsurah,4,0,1334,7420693
2023-09-23,Amira Sankar,Guntur,3,0,595,3714209
2023-10-01,Shayak Sule,Solapur,4,1,667,7340810
2023-09-19,Rasha Kurian,Bhusawal,2,1,565,4835717
2023-09-08,Suhana Garg,Udupi,3,1,1684,8383497
2023-09-08,Madhup Kapoor,Ghaziabad,3,0,887,2433247
2023-09-28,Biju Char,Mango,2,2,1307,6047976
2023-09-27,Madhup Som,Bhatpara,3,0,1387,1684110
2023-09-10,Eva Gala,Kozhikode,1,2,1252,6226003
2023-09-04,Indranil Sankaran,Rajahmundry,4,1,1034,6933705
2023-09-19,Diya Balay,Chapra,2,0,1809,7105789
2023-09-11,Madhav Mand,Hindupur,1,1,641,2296975
2023-09-18,Armaan Roy,Bokaro,2,1,552,4659463
2023-09-17,Jiya Koshy,Chinsurah,1,1,1469,5111769
2023-09-09,Sara Joshi,Karnal,2,0,1398,1759736
2023-09-11,Aarush Doshi,Parbhani,1,0,510,9381731
2023-09-06,Raunak Goswami,Dehradun,4,1,1067,8234970
2023-09-15,Bhamini Sabharwal,Kota,3,0,835,7253329
2023-09-12,Saira Dash,Guntakal,3,1,835,7741782
2023-09-17,Hunar Sule,Eluru,2,2,1893,2098799
2023-09-29,Vardaniya Kulkarni,Hospet,3,0,751,6267714
2023-09-18,Raghav Tailor,Jammu,2,2,1689,3213165
2023-09-18,Aarna Bala,Raiganj,1,1,1917,4594103
2023-09-15,Nitara Walla,Baranagar,4,1,1883,6857456
2023-09-10,Trisha Bhargava,Sikar,1,0,1742,5220494
2023-09-29,Divit Sengupta,Allahabad,2,1,1740,6307367
2023-09-28,Nitya Sharaf,Farrukhabad,2,0,867,2126268
2023-09-08,Mishti Raj,Shivpuri,2,1,1661,7107093
2023-09-13,Kiara Ganesh,Vasai-Virar,2,0,1422,2544976
2023-09-23,Siya Arya,Dibrugarh,2,1,1020,8303561
2023-09-29,Zaina Dara,Ajmer,3,0,1443,3411047
2023-09-28,Divij Chaudhry,South Dumdum,3,2,722,6813554
2023-09-10,Drishya Mannan,Udupi,1,0,1453,4974179
2023-09-18,Dishani Arya,Rohtak,4,1,510,1521609
2023-09-30,Navya Bal,Singrauli,1,1,1023,2943519
2023-09-06,Divij Choudhary,Panihati,4,0,1442,3673410
2023-10-02,Rohan Khare,Berhampur,3,0,1495,8074905
2023-09-22,Aaina Soman,Erode,1,0,1629,7102755
2023-09-21,Seher Kapadia,Madurai,4,1,536,1857736
2023-09-14,Kiaan Mand,Danapur,2,1,809,5982591
2023-09-14,Abram Kapadia,Fatehpur,1,0,1982,8036684
2023-09-06,Gokul Cherian,Bhind,1,2,1785,6622150
2023-09-21,Ishita Golla,Bareilly,3,2,588,7060582
2023-09-12,Umang Mahajan,Buxar,4,2,751,1279194
2023-09-15,Vritika Banerjee,Morbi,3,2,883,4339952
2023-09-18,Shayak Hans,Panvel,4,1,597,8765843
2023-09-14,Tarini Vora,Madurai,2,2,1101,1758818
2023-09-06,Mannat Chaudhari,Rohtak,3,0,1182,3321168
2023-09-29,Rohan Mammen,Pudukkottai,1,0,1412,1208804
2023-09-25,Akarsh Brahmbhatt,Pali,1,0,1205,4804149
2023-10-01,Manjari Kanda,Khora ,3,0,1977,8049532
2023-09-14,Romil Dugar,Gandhidham,3,1,1958,9345015
2023-09-04,Tushar Bal,Dharmavaram,3,1,1573,2779123
2023-10-01,Tanya Thaker,Chapra,1,0,1850,6074665
2023-09-26,Amani Varkey,Rajkot,3,2,1053,7493740
2023-10-01,Farhan Dugal,Bhagalpur,3,0,572,9409366
2023-09-12,Bhavin Rastogi,Jamshedpur,3,1,943,6716912
2023-09-27,Ranbir Gandhi,Bidhannagar,4,2,1714,3544713
2023-09-28,Vaibhav Hayre,Alwar,4,0,929,5757492
2023-09-30,Romil Chhabra,Kochi,1,0,1351,3660540
2023-09-25,Kashvi Jain,Arrah,4,1,965,3442438
2023-09-21,Saanvi Dhaliwal,Nadiad,3,2,952,9411527
2023-09-23,Aayush Bail,Jalgaon,2,0,1762,2677692
2023-09-27,Aarush Master,Akola,2,1,1367,5769747
2023-09-07,Anahi Bhatt,Jamalpur,3,1,1469,3167734
2023-09-05,Ishaan Chaudhry,Udaipur,1,1,1714,5996994
2023-09-11,Shayak Saran,Buxar,3,1,923,9347178
2023-09-13,Vihaan Chauhan,Kozhikode,2,1,1144,5789432
2023-09-29,Nehmat Ghose,Jamalpur,4,1,1435,3260229
2023-09-28,Siya Bhatnagar,Berhampore,4,2,1017,7532331
2023-09-15,Keya Bava,Lucknow,1,1,749,9466337
2023-09-14,Advika Amble,Katihar,2,1,780,2783550
2023-09-18,Pranay Soman,Chinsurah,1,2,602,3755275
2023-09-05,Tarini Hora,Mathura,2,2,1792,8063176
2023-09-14,Shayak Char,Saharsa,3,2,1906,6168382
2023-09-09,Shalv Sami,Haldia,3,0,1461,4008075
2023-09-16,Akarsh Kunda,Bhagalpur,3,0,1605,1240781
2023-09-20,Ayesha Kashyap,Gaya,1,0,794,9192494
2023-09-17,Vedika Kale,Rampur,1,0,647,8542524
2023-09-30,Alisha Sura,Asansol,4,2,1510,7681709
2023-09-06,Tiya Kurian,Avadi,4,1,853,8293769
2023-09-07,Priyansh Ramesh,Salem,2,2,836,1328223
2023-09-18,Stuvan Ranganathan,Delhi,3,1,647,4035340
2023-09-20,Vihaan Boase,Bhind,3,2,1004,4582007
2023-09-23,Emir Gupta,Alwar,2,1,1913,6941057
2023-09-23,Rhea Krish,Raiganj,1,1,501,3318878
2023-09-17,Ritvik Mannan,Ichalkaranji,2,1,1417,9958663
2023-09-26,Anya Bhavsar,Kochi,4,1,635,6239303
2023-09-12,Vidur Cherian,New Delhi,2,2,2000,7221992
2023-09-27,Jivika Yogi,Korba,3,2,636,5168164
2023-09-23,Yakshit Ray,Chandrapur,3,0,590,3970085
2023-09-10,Vaibhav Upadhyay,Cuttack,3,0,1297,1994644
2023-09-19,Chirag Suri,Medininagar,3,1,800,3034280
2023-09-09,Hunar Gaba,Cuttack,4,2,1795,7542564
2023-09-17,Kashvi Seshadri,Gurgaon,4,2,1009,5181836
2023-09-19,Zeeshan Sekhon,Latur,4,0,978,3660296
2023-09-09,Vanya Chander,Uluberia,2,0,1712,6894567
2023-09-22,Yuvaan Khare,Silchar,4,2,1110,5788094
2023-09-04,Sara Hans,Junagadh,4,2,632,9456956
2023-09-10,Amani Devi,Tiruvottiyur,3,0,1070,7721389
2023-09-19,Jivika Behl,Ongole,2,1,1233,4586080
2023-09-30,Hiran Lall,Gulbarga,4,0,1684,9298227
2023-09-08,Kavya Jha,Ambala,3,2,693,8565150
2023-09-24,Tiya Yohannan,Jorhat,1,2,775,6978398
2023-09-17,Rohan Dhingra,Sambhal,1,0,633,7579999
2023-09-23,Kimaya Gade,Nagaon,2,2,569,7464566
2023-09-12,Shanaya Choudhary,Chandigarh,4,0,629,2088725
2023-09-07,Nitara Rastogi,Muzaffarpur,3,0,1543,2458428
2023-09-05,Arhaan Basu,Shivpuri,2,2,1795,8754259
2023-09-08,Samiha Gara,Indore,2,1,1924,7359731
2023-09-23,Hridaan Mann,Guwahati,2,2,678,7015614
2023-09-29,Samarth Singh,Sonipat,3,0,893,1925458
2023-09-05,Vardaniya Rao,Malegaon,1,2,600,9883611
2023-10-02,Faiyaz Khosla,Pali,1,2,1041,2013290
2023-10-01,Akarsh Saha,New Delhi,2,1,1929,9414239
2023-09-09,Mannat Dugar,Bhilwara,4,0,1926,8998385
2023-09-25,Samarth Kanda,Kavali,2,2,834,8307852
2023-09-08,Hansh Chakrabarti,Farrukhabad,3,2,634,9842272
2023-09-21,Navya Badami,Sirsa,4,1,1443,1577498
2023-09-10,Jivin Saran,Maheshtala,2,1,1936,6549160
2023-09-10,Dhanush Lad,Shimla,4,2,1336,3558491
2023-09-19,Manjari Barad,Jabalpur,3,1,925,5717058
2023-09-11,Myra Vaidya,Cuttack,3,0,1652,1594872
2023-09-15,Aarav Chada,Bilaspur,4,0,1137,2045261
2023-09-10,Ishita Bala,Phagwara,4,0,571,6987186
2023-09-21,Adah Kala,Chandrapur,2,1,1607,2880908
2023-09-04,Rati Manne,Visakhapatnam,1,1,642,5386353
2023-09-11,Shaan Mane,Solapur,4,2,1784,3450849
2023-09-12,Siya Jayaraman,Thrissur,2,1,1344,7224861
2023-09-15,Kanav Sabharwal,Kadapa,2,1,892,6535036
2023-10-02,Arhaan Ghose,Baranagar,3,0,1409,4557384
2023-09-26,Shalv Dewan,Tirupati,2,2,1072,5058347
2023-09-16,Zara Devi,Bijapur,1,2,1148,4841667
2023-09-29,Eshani Gaba,Amroha,1,2,1590,1600292
2023-09-18,Anahi Chandra,Bareilly,1,2,555,7825161
2023-10-02,Yasmin Mann,Machilipatnam,2,0,1227,3903656
2023-09-11,Kaira Thaman,Nagercoil,3,0,587,9848531
2023-09-26,Bhavin Viswanathan,Shimla,2,1,826,2732855
2023-09-22,Purab Sule,Khora ,4,1,1979,9270702
2023-09-16,Zain Goswami,Imphal,2,0,979,2582902
2023-09-24,Jayesh Shah,Karimnagar,1,0,693,1467806
2023-09-12,Reyansh Gupta,Kharagpur,1,2,1517,3241602
2023-09-17,Pranay Baria,Jamnagar,4,0,1291,2714801
2023-09-10,Diya Acharya,Allahabad,2,1,765,7645109
2023-10-01,Dishani Rege,Udupi,4,2,1787,7779421
2023-09-18,Gatik Rajagopalan,Chittoor,3,0,1241,9030229
2023-09-09,Yasmin Sheth,Kalyan-Dombivli,1,2,682,5721308
2023-09-26,Hunar Datta,Burhanpur,4,2,1718,7716559
2023-09-19,Gokul Dutt,Gandhidham,1,2,1688,3838968
2023-09-09,Anika Loyal,Nizamabad,4,0,1982,6832778
2023-09-08,Mehul Saran,Kota,2,0,1217,8743007
2023-09-04,Adira Dewan,Tadipatri,2,0,1193,9631999
2023-09-25,Armaan Sami,Barasat,3,1,1621,4515090
2023-09-08,Mamooty Sharaf,Patiala,4,2,1999,6180879
2023-09-28,Purab Kala,Thrissur,1,0,1520,7891610
2023-09-18,Gokul Bali,Amaravati,3,2,1325,4499608
2023-09-24,Samaira Kota,Yamunanagar,1,0,1388,1236547
2023-09-29,Nayantara Kibe,Saharsa,4,1,1145,5564591
2023-10-01,Taran Gaba,Bhimavaram,2,1,1694,7071898
2023-09-14,Vritika Thaker,Bhilai,4,1,1171,2437379
2023-09-24,Vidur Varkey,Jodhpur,2,0,1699,2852411
2023-09-29,Uthkarsh Bora,Patiala,1,0,510,2138608
2023-09-21,Dharmajan Gala,Rewa,4,0,828,1037873
2023-09-23,Farhan Bhasin,Secunderabad,4,0,1209,8824148
2023-09-30,Khushi Balan,Bhiwandi,4,1,1168,2433587
2023-09-07,Sumer Kapadia,Meerut,2,0,1757,6972730
2023-09-08,Ojas Dar,Aizawl,3,2,1885,4172404
2023-09-11,Saksham Sood,Bokaro,1,1,1258,8964204
2023-09-04,Baiju Rajagopal,Ahmednagar,4,1,1808,5185291
2023-09-09,Miraan Bawa,Ahmednagar,4,1,1871,2226737
2023-09-23,Divyansh Bath,Pondicherry,2,1,736,4710477
2023-09-18,Uthkarsh Arora,Rajpur Sonarpur,1,1,594,7903747
2023-09-23,Aarush Thakkar,Jammu,1,2,1954,7265487
2023-09-24,Ryan Dhillon,Mehsana,2,1,1504,9443436
2023-09-07,Arnav Sampath,Bhatpara,1,0,1322,8205846
2023-09-30,Gokul Kunda,Kottayam,1,1,1877,2802274
2023-09-27,Jayant Bava,Raebareli,1,0,1198,8787660
2023-09-24,Urvi Bansal,Bettiah,2,1,1575,3172431
2023-09-23,Jiya Dey,Pune,1,0,1911,2199345
2023-09-15,Aayush Sabharwal,Pondicherry,1,0,1012,3147725
2023-09-09,Gokul Bava,Phagwara,3,2,1667,1714079
2023-09-26,Prerak Sem,Chennai,2,1,1204,9366584
2023-09-13,Riya Bhandari,Unnao,2,1,1332,3584271
2023-09-25,Dishani Jayaraman,Bhagalpur,4,0,1735,9385985
2023-09-20,Advika Bhatnagar,Coimbatore,3,0,618,6604620
2023-09-08,Jhanvi Joshi,Silchar,1,2,1345,7544382
2023-09-18,Gokul Bali,Hyderabad,2,2,839,5181519
2023-09-24,Anya Saha,Sikar,4,1,1920,2064397
2023-10-01,Diya Sodhi,Belgaum,2,1,839,9935349
2023-09-27,Samiha Basak,Surendranagar Dudhrej,4,2,1459,9459335
2023-09-14,Aayush Rajagopalan,Warangal,3,2,1950,2415961
2023-09-04,Neysa Dar,Gaya,2,1,1270,4652087
2023-09-15,Zoya Rout,Vasai-Virar,3,1,1012,3922343
2023-09-07,Rasha Rau,Ramgarh,2,1,1523,5835751
2023-09-29,Bhavin Tank,Unnao,2,1,1776,7109890
2023-09-25,Devansh Taneja,Lucknow,2,1,1250,6971884
2023-09-08,Jivika Kibe,Tiruchirappalli,4,1,1308,3116252
2023-10-02,Mamooty Ramachandran,Hubli–Dharwad,4,0,764,8541469
2023-09-14,Parinaaz Barman,Bikaner,2,0,1969,3176525
2023-09-11,Azad Mand,Chandrapur,2,0,1504,7292262
2023-09-26,Onkar Saraf,Aurangabad,4,1,1171,9670722
2023-09-09,Advik Korpal,Jalna,2,2,1629,9774174
2023-09-25,Taran Luthra,Meerut,2,0,1564,2011573
2023-09-08,Siya Bali,Kolkata,2,2,678,4983046
2023-09-20,Ivana Saini,Orai,1,0,1371,6634130
2023-09-05,Aarna Sathe,Karnal,2,2,587,4215746
2023-09-24,Samaira Rana,Unnao,2,0,915,1313793
2023-09-29,Anaya Kibe,Bilaspur,4,1,1636,6645856
2023-09-07,Aaryahi Setty,New Delhi,2,0,1159,7070991
2023-09-24,Dishani Baral,Kanpur,3,1,1256,4744197
2023-09-18,Ishita Ben,Arrah,1,1,1482,5168319
2023-09-05,Tushar Sibal,Jaunpur,3,1,1733,1613132
2023-09-29,Ryan Taneja,Tirunelveli,2,2,1848,6838744
2023-09-22,Mamooty Majumdar,Bhalswa Jahangir Pur,4,1,1728,9077394
2023-09-29,Ranbir Kaur,Kozhikode,2,1,1361,1302090
2023-09-05,Fateh Sarma,Khammam,1,1,1577,1590297
2023-09-23,Madhup Shukla,Bhiwani,1,1,1461,7026562
2023-09-26,Sahil Choudhury,Dehri,1,2,1261,2312845
2023-09-29,Gatik Venkataraman,Madanapalle,3,1,1368,4600940
2023-09-05,Seher Hayer,Surat,4,2,884,5319144
2023-09-13,Anahita Chand,Kamarhati,3,0,1215,7846154
2023-09-19,Vedika Loke,Gulbarga,1,2,1712,2260159
2023-09-21,Himmat Majumdar,Jorhat,1,1,1791,9474597
2023-09-23,Indranil Koshy,Panvel,4,0,1674,7096336
2023-09-23,Jhanvi Kaul,Ranchi,1,2,1776,3661909
2023-09-18,Tara Dara,Sagar,4,1,759,6919442
2023-09-07,Siya Bath,Rajkot,1,2,1090,2579988
2023-09-07,Miraya Date,Kalyan-Dombivli,1,1,1175,2455865
2023-09-25,Nitara Choudhury,Orai,3,2,763,1989695
2023-09-16,Zain Sehgal,Miryalaguda,3,0,986,2865507
2023-09-20,Sara Madan,Gopalpur,1,0,1113,3454306
2023-09-18,Kartik Ahuja,Visakhapatnam,4,1,778,5410211
2023-09-08,Neysa Sarin,Karnal,2,2,1264,6674731
2023-09-06,Kimaya Kaur,Sambhal,1,2,1842,5595896
2023-09-25,Veer Singh,Tirunelveli,4,2,644,4387137
2023-09-20,Faiyaz Mander,Nagpur,1,0,1499,9372328
2023-09-04,Anay Hora,Shahjahanpur,4,1,1869,1595221
2023-09-15,Ritvik Thaman,Bhalswa Jahangir Pur,3,1,833,1195124
2023-09-26,Ira Buch,Parbhani,2,2,1706,9583054
2023-09-12,Hiran Khurana,Nangloi Jat,1,2,535,2001379
2023-09-16,Ira Taneja,Tirunelveli,2,0,1356,3357716
2023-09-15,Armaan Chhabra,Tirunelveli,4,0,1373,8248911
2023-09-17,Lakshay Tella,Hubli–Dharwad,4,0,1314,5415598
2023-09-23,Himmat Jhaveri,Purnia,4,0,905,1314368
2023-09-21,Kartik Sodhi,Kochi,4,1,824,7096453
2023-10-01,Anya Tiwari,Aizawl,1,0,505,1852526
2023-09-23,Saanvi Seth,Bhatpara,2,0,887,9231856
2023-09-23,Mamooty Gade,Mangalore,3,0,881,6274323
2023-10-02,Shlok Agate,Darbhanga,4,2,894,1490419
2023-10-01,Amira Anand,Dindigul,1,0,1060,7440875
2023-09-07,Mannat Kar,Mirzapur,4,1,665,8244685
2023-09-15,Dharmajan Tiwari,Malda,3,0,1462,6991952
2023-09-14,Zara Guha,Bellary,4,2,928,8792807
2023-09-15,Lakshit Sheth,Surendranagar Dudhrej,2,1,1753,7663867
2023-09-18,Amani Loyal,Shivpuri,3,1,658,9899845
2023-09-24,Sumer Rege,Patiala,4,0,1801,7929284
2023-09-12,Riaan Kakar,Varanasi,2,2,1771,6921877
2023-09-30,Neysa Maharaj,Kochi,3,2,1398,6030801
2023-09-10,Rohan Bali,Jodhpur,2,2,1978,5709253
2023-09-20,Madhup Desai,Alwar,2,2,1579,2428866
2023-09-22,Anika Dass,Gopalpur,1,0,1370,7320555
2023-09-22,Gokul Ramachandran,Srinagar,1,1,705,3285865
2023-09-12,Taran Sane,Kharagpur,2,2,1313,3732282
2023-09-28,Veer Kumer,Parbhani,2,0,1570,2901337
2023-09-13,Mehul Mander,Nizamabad,2,0,1578,4355266
2023-09-16,Purab Buch,Sambhal,2,2,1955,5836711
2023-09-26,Bhamini Raj,Davanagere,1,2,943,5248236
2023-09-30,Anay Goel,South Dumdum,1,2,1079,2947585
2023-09-16,Vanya Dhar,Hosur,4,1,1957,8486932
2023-09-11,Samarth Das,Gorakhpur,2,2,745,8232459
2023-09-27,Akarsh Kapur,Panihati,3,1,749,3145591
2023-09-27,Anahita Shukla,Mangalore,1,0,1579,1678047
2023-09-10,Taimur Tailor,Sangli-Miraj & Kupwad,2,0,862,8455740
2023-09-10,Ayesha Walia,Guna,2,2,1893,2233490
2023-09-05,Kiaan Suri,Mangalore,3,2,892,4625870
2023-09-08,Riya Basu,Bareilly,4,0,599,9194560
2023-09-08,Nishith Dutt,Kozhikode,1,1,536,2371015
2023-09-16,Dhanuk Sankaran,Bhimavaram,2,1,1528,1501219
2023-09-10,Vritika Atwal,Bhiwani,3,2,1050,8273039
2023-09-27,Eva Upadhyay,Muzaffarpur,2,0,746,2635838
2023-09-26,Purab Koshy,Gorakhpur,4,0,1975,8586851
2023-10-01,Shlok Ramanathan,Amritsar,3,0,1475,3892303
2023-09-12,Kaira Sastry,Gorakhpur,4,0,851,5090810
2023-09-29,Hridaan Tripathi,Jalna,4,1,941,6950088
2023-09-19,Shalv Thakur,Sonipat,2,1,1683,7886091
2023-09-06,Jayan Mahal,Bhubaneswar,2,1,1717,9263431
2023-09-21,Anaya Choudhury,Thanjavur,4,0,1142,9553163
2023-09-28,Rasha Rajagopalan,Meerut,1,2,811,3799330
2023-09-09,Advik Vora,Visakhapatnam,1,1,1084,4505507
2023-09-17,Stuvan Rajagopalan,Ahmednagar,4,0,1515,9094399
2023-09-25,Hiran Seth,New Delhi,1,1,1767,7129124
2023-09-28,Dishani Kuruvilla,North Dumdum,1,0,1661,6809139
2023-09-26,Kismat Bir,Bareilly,2,0,586,8879810
2023-10-02,Aarna Chaudhary,Thane,1,0,1688,2376784
2023-09-17,Kabir Wable,Tumkur,1,2,526,1043425
2023-10-02,Badal Bhagat,Junagadh,2,1,575,1552331
2023-10-02,Yakshit Zacharia,Thane,1,1,1201,5428701
2023-09-21,Keya Sinha,Barasat,4,2,511,4037010
2023-09-29,Hansh Dar,Siliguri,2,1,1483,9134027
2023-09-10,Kavya Sagar,Mysore,1,1,1300,9731578
2023-09-25,Dharmajan Kaur,Warangal,2,2,1421,4409633
2023-09-28,Urvi Amble,Gaya,2,1,1831,2491679
2023-10-02,Sara Dyal,Phagwara,4,0,1533,6008177
2023-09-17,Armaan Suresh,Jehanabad,3,0,886,3142419
2023-09-10,Zeeshan Dutt,Mumbai,3,0,686,5877921
2023-09-14,Mahika Bawa,Asansol,4,2,1732,1082085
2023-09-11,Vaibhav Sridhar,Mango,2,1,1267,8856643
2023-09-20,Siya Sarma,Rampur,3,1,552,4631174
2023-09-18,Badal Date,Karawal Nagar,4,0,1643,7452911
2023-09-18,Mahika Korpal,Mangalore,4,2,1593,8451501
2023-09-19,Mehul Taneja,Hazaribagh,1,2,1866,2847680
2023-09-09,Kartik Chana,Solapur,4,0,856,5188138
2023-09-23,Tanya Dash,Surendranagar Dudhrej,3,1,1014,8712520
2023-09-05,Vardaniya Sha,Gandhinagar,2,0,765,8848966
2023-09-28,Ranbir Chaudhari,Uluberia,3,1,1144,3464886
2023-09-22,Ishaan Desai,Bathinda,4,1,803,7921878
2023-09-27,Inaaya  Viswanathan,Hazaribagh,1,0,1514,4810565
2023-09-24,Rania Tara,Firozabad,4,0,1063,9565732
2023-09-21,Trisha Choudhry,Mathura,3,0,704,1428372
2023-09-07,Nishith Ghosh,Ludhiana,1,0,1463,3777742
2023-09-26,Yashvi Khanna,Aligarh,2,2,504,3805427
2023-09-29,Taran Edwin,Ambarnath,3,1,865,7661528
2023-09-15,Romil Dua,Siliguri,4,0,1419,2292988
2023-09-14,Gokul Agrawal,Anand,2,1,1701,3788199
2023-09-07,Saanvi Bali,Dhanbad,4,1,705,4359845
2023-10-01,Devansh Rajagopal,Pondicherry,4,0,794,2534216
2023-09-11,Ela Mannan,Bongaigaon,4,0,1596,4279716
2023-09-28,Myra Choudhry,Hazaribagh,1,2,932,3079163
2023-09-09,Tiya Sridhar,Nashik,2,1,1418,4212666
2023-09-21,Lagan Saxena,Chapra,4,2,1390,4827527
2023-09-24,Aayush Sinha,Bhind,4,1,654,6721145
2023-09-29,Lakshay Chhabra,Bathinda,4,1,895,3255613
2023-09-13,Romil Chaudhary,Kota,3,1,1762,7696872
2023-09-04,Lagan Devi,Jamalpur,3,2,1911,7960931
2023-09-08,Pranay Raj,Alappuzha,2,0,1408,9417226
2023-09-04,Shayak Kumer,Mira-Bhayandar,3,2,842,3646259
2023-09-15,Kaira Kale,Vasai-Virar,4,2,686,5886479
2023-09-17,Anika Sami,Maheshtala,2,0,1118,7426606
2023-09-23,Ishaan Sarraf,Jamshedpur,1,1,600,2985231
2023-09-17,Mishti Sood,Gwalior,1,1,762,1160089
2023-09-16,Baiju Apte,Singrauli,2,0,1873,3458036
2023-09-22,Seher Sane,Ichalkaranji,4,0,1024,4410863
2023-09-04,Hrishita Balasubramanian,Thrissur,2,0,1948,2160517
2023-09-23,Mannat Sagar,Raipur,2,0,1082,7123922
2023-09-10,Heer Edwin,North Dumdum,4,2,1252,3465966
2023-09-08,Dhanush Sarin,Haridwar,1,2,1801,3672663
2023-09-06,Zaina Kota,Panihati,2,2,1681,7757122
2023-10-01,Vardaniya Ramanathan,Ozhukarai,4,0,819,2995002
2023-09-06,Pari Dubey,Ulhasnagar,2,2,1577,7593696
2023-10-01,Samarth Varghese,Pune,4,0,618,2301964
2023-09-30,Raunak Ahuja,Katni,4,1,679,9658529
2023-09-11,Kaira Ratta,Deoghar,3,2,1833,4613105
2023-09-23,Madhav Sandal,Fatehpur,2,0,1770,9868071
2023-09-20,Myra Agarwal,Vasai-Virar,2,0,1483,4779354
2023-09-09,Zaina Bera,Srikakulam,3,2,1667,2846799
2023-10-01,Kaira Kara,Nadiad,1,0,1319,1264016
2023-09-15,Abram Talwar,Rajahmundry,1,0,1191,9989364
2023-09-06,Hiran Subramanian,Bangalore,1,2,665,5727762
2023-09-19,Badal Sarin,Nellore,1,2,674,3339521
2023-09-17,Hrishita Raval,Saharsa,4,2,1280,6907591
2023-09-09,Jivika Dani,Amritsar,1,2,686,3030987
2023-09-25,Ela Soman,Visakhapatnam,2,2,1973,4621330
2023-09-20,Zaina Tara,Noida,2,0,1216,6684711
2023-09-19,Dhruv Luthra,Patiala,4,2,1601,6762504
2023-09-20,Ivan Ramachandran,Jehanabad,1,0,640,4754412
2023-09-25,Gatik Goel,Shimla,4,2,964,1501593
2023-09-04,Parinaaz Yogi,Tadipatri,3,1,553,9274046
2023-09-22,Arnav Dey,Kirari Suleman Nagar,1,1,1888,2958055
2023-10-02,Keya Grewal,Ambattur,2,2,1999,8590107
2023-09-09,Yakshit Mangat,Nangloi Jat,3,1,1261,9387213
2023-09-30,Shayak Dua,Bhopal,4,2,1621,5802497
2023-09-06,Vihaan Chacko,Burhanpur,2,2,999,2024814
2023-09-26,Yasmin Dani,Sirsa,3,0,1263,7974196
2023-09-18,Shaan Loyal,Saharanpur,3,1,1650,8305816
2023-10-02,Dhruv Dhingra,Proddatur,1,2,1765,6225195
2023-09-20,Seher Keer,Bhiwandi,1,0,946,5344507
2023-09-12,Prisha Jayaraman,Darbhanga,2,0,1131,2850561
2023-09-29,Eva Balakrishnan,Avadi,3,0,973,3764212
2023-09-11,Siya Doshi,Gandhidham,4,2,1483,4355140
2023-09-22,Rati Vasa,Erode,3,2,659,8282695
2023-10-02,Pranay Kapur,Kurnool,1,1,1578,7498612
2023-09-14,Alia Walia,Latur,4,2,522,9285131
2023-09-05,Shamik Kuruvilla,Adoni,1,0,1586,9848115
2023-09-05,Vardaniya Chhabra,Guwahati,2,1,573,9014737
2023-09-16,Romil Khurana,Thanjavur,4,2,1496,8963231
2023-09-12,Inaaya  Bandi,Ratlam,1,1,771,3606915
2023-09-11,Emir Doctor,Rajpur Sonarpur,4,0,1043,9924545
2023-09-23,Priyansh Dey,Firozabad,1,0,817,2001576
2023-09-17,Aarush Dubey,Jabalpur,3,2,1945,8658917
2023-09-06,Miraan Badami,Phusro,3,1,1771,4659889
2023-09-06,Nakul Sankaran,Arrah,3,1,1433,3710262
2023-09-07,Adah Deol,Nandyal,2,1,1069,8395994
2023-09-04,Lavanya Kara,Aizawl,1,0,1046,5841557
2023-09-23,Zain Wali,Bangalore,2,1,1799,5126152
2023-10-01,Divyansh Dugar,Hyderabad,1,0,1663,1846995
2023-09-24,Misha Choudhury,Ahmedabad,4,2,951,4988113
2023-09-19,Jivin Jha,Dewas,3,1,1112,7456732
2023-09-18,Nishith Sen,Nagpur,3,0,772,8056577
2023-09-29,Pranay Mahajan,Nanded,1,1,1674,4924492
